"gutenberg_id" "text"
"1" 105 "Persuasion"
"2" 105 ""
"3" 105 ""
"4" 105 "by"
"5" 105 ""
"6" 105 "Jane Austen"
"7" 105 ""
"8" 105 "(1818)"
"9" 105 ""
"10" 105 ""
"11" 105 ""
"12" 105 ""
"13" 105 "<Chapter 1>"
"14" 105 ""
"15" 105 ""
"16" 105 "Sir Walter Elliot, of Kellynch Hall, in Somersetshire, was a man who,"
"17" 105 "for his own amusement, never took up any book but the Baronetage; there"
"18" 105 "he found occupation for an idle hour, and consolation in a distressed"
"19" 105 "one; there his faculties were roused into admiration and respect, by"
"20" 105 "contemplating the limited remnant of the earliest patents; there any"
"21" 105 "unwelcome sensations, arising from domestic affairs changed naturally"
"22" 105 "into pity and contempt as he turned over the almost endless creations"
"23" 105 "of the last century; and there, if every other leaf were powerless, he"
"24" 105 "could read his own history with an interest which never failed.  This"
"25" 105 "was the page at which the favourite volume always opened:"
"26" 105 ""
"27" 105 "           \"ELLIOT OF KELLYNCH HALL."
"28" 105 ""
"29" 105 "\"Walter Elliot, born March 1, 1760, married, July 15, 1784, Elizabeth,"
"30" 105 "daughter of James Stevenson, Esq. of South Park, in the county of"
"31" 105 "Gloucester, by which lady (who died 1800) he has issue Elizabeth, born"
"32" 105 "June 1, 1785; Anne, born August 9, 1787; a still-born son, November 5,"
"33" 105 "1789; Mary, born November 20, 1791.\""
"34" 105 ""
"35" 105 "Precisely such had the paragraph originally stood from the printer's"
"36" 105 "hands; but Sir Walter had improved it by adding, for the information of"
"37" 105 "himself and his family, these words, after the date of Mary's birth--"
"38" 105 "\"Married, December 16, 1810, Charles, son and heir of Charles Musgrove,"
"39" 105 "Esq. of Uppercross, in the county of Somerset,\" and by inserting most"
"40" 105 "accurately the day of the month on which he had lost his wife."
"41" 105 ""
"42" 105 "Then followed the history and rise of the ancient and respectable"
"43" 105 "family, in the usual terms; how it had been first settled in Cheshire;"
"44" 105 "how mentioned in Dugdale, serving the office of high sheriff,"
"45" 105 "representing a borough in three successive parliaments, exertions of"
"46" 105 "loyalty, and dignity of baronet, in the first year of Charles II, with"
"47" 105 "all the Marys and Elizabeths they had married; forming altogether two"
"48" 105 "handsome duodecimo pages, and concluding with the arms and"
"49" 105 "motto:--\"Principal seat, Kellynch Hall, in the county of Somerset,\" and"
"50" 105 "Sir Walter's handwriting again in this finale:--"
"51" 105 ""
"52" 105 "\"Heir presumptive, William Walter Elliot, Esq., great grandson of the"
"53" 105 "second Sir Walter.\""
"54" 105 ""
"55" 105 "Vanity was the beginning and the end of Sir Walter Elliot's character;"
"56" 105 "vanity of person and of situation.  He had been remarkably handsome in"
"57" 105 "his youth; and, at fifty-four, was still a very fine man.  Few women"
"58" 105 "could think more of their personal appearance than he did, nor could"
"59" 105 "the valet of any new made lord be more delighted with the place he held"
"60" 105 "in society.  He considered the blessing of beauty as inferior only to"
"61" 105 "the blessing of a baronetcy; and the Sir Walter Elliot, who united"
"62" 105 "these gifts, was the constant object of his warmest respect and"
"63" 105 "devotion."
"64" 105 ""
"65" 105 "His good looks and his rank had one fair claim on his attachment; since"
"66" 105 "to them he must have owed a wife of very superior character to any"
"67" 105 "thing deserved by his own.  Lady Elliot had been an excellent woman,"
"68" 105 "sensible and amiable; whose judgement and conduct, if they might be"
"69" 105 "pardoned the youthful infatuation which made her Lady Elliot, had never"
"70" 105 "required indulgence afterwards.--She had humoured, or softened, or"
"71" 105 "concealed his failings, and promoted his real respectability for"
"72" 105 "seventeen years; and though not the very happiest being in the world"
"73" 105 "herself, had found enough in her duties, her friends, and her children,"
"74" 105 "to attach her to life, and make it no matter of indifference to her"
"75" 105 "when she was called on to quit them.--Three girls, the two eldest"
"76" 105 "sixteen and fourteen, was an awful legacy for a mother to bequeath, an"
"77" 105 "awful charge rather, to confide to the authority and guidance of a"
"78" 105 "conceited, silly father.  She had, however, one very intimate friend, a"
"79" 105 "sensible, deserving woman, who had been brought, by strong attachment"
